SekineRisa , そわんわん
katusarby , けん/Ken
水溜りボンドの日常 , パオパオチャンネル
Elizabeth Khan , Saiki No Psi Fan
ありくまかのあ , mama dulan
AHATO , ホワイトキュレム
牛沢 , レトルト
Nintendo 公式チャンネル , TAS VIDEO
牛沢 , grapecompany
AHATO , ぴくとはうす
かてぃ , のぴ
AbemaTV公式 YouTube , MEVIUS PROJECT公式YouTubeチャンネル
Elizabeth Khan , Lucy Defi
katusarby , ❄︎すのぉ❄︎
KUN , まひとくん。ܤ
ゆらりママchannel , こうじょうちょー
畜家 , てきとう太郎
水溜りボンド , おるたなChannel
あっさりしょこ , 兄者弟者
HikakinGames , HikakinTV
コロコロチャンネル【公式】 , ぐっちの部屋(ミラクルぐっち)
てんちむCH/ tenchim , Yumi Nakano
おかりん /OkarinGames , ぺいんとチャンネルゥ
ふぇいたん , まひとくん。ܤ
たくっち , 畜家
ぴよちゃれ!ろこ/キジ彦 , なさんのお部屋
FORESTちゃんねる , ふじむＮＩＰＳ
Fischer's-セカンダリ- , はじめしゃちょー（hajime）
AbemaTV公式 YouTube , KO侍
ぴよちゃれ!ろこ/キジ彦 , ニャン魔女
キヨ。 , レトルト
東海オンエアの控え室 , Fischer's-フィッシャーズ-
てんちむCH/ tenchim , BOXING ch
ふぇいたん , Coko3TA
こうじょうちょー , キッズライン♡Kids Line
あまり驚かないガッチマンはホラーゲームばかりやっている , 日テレ公式チャンネル
ぺいんとチャンネルゥ , あしあと
ぴよちゃれ!ろこ/キジ彦 , パトパトチャンネル
PlataBush , FV FAMILY
ぴよちゃれ!ろこ/キジ彦 , Fischer's-セカンダリ-
サウザー【スマブラ帝王学】 , Gamers Channel EX / ゲーマーズチャンネルEX
Fischer's-セカンダリ- , おるたなChannel
PlataBush , GhostBlock | Minecraft Animations
なさんのお部屋 , Indah San
うごくちゃん , ハイグレ玉夫
はじめしゃちょーの畑 , Fischer's-フィッシャーズ-
ラバーガール Official YouTube Channel , Okane Sakura
にゅるい/ルイ幹雄 , かてぃ
KTG Games , つるなか
水溜りボンド , 尚D
HikakinTV , Eric Ligon
【レペゼン地球】僕達は更生しました。 , ラファエル Raphael
てんちむCH/ tenchim , ラファエル Raphael
AbemaTV公式 YouTube , Channel JapanBeauty
水溜りボンド , 東海オンエアの控え室
MaGiCiAn 1610 , アンジャッシュ(児島と渡辺)コントFun
【レペゼン地球】僕達は更生しました。 , パチスロ&おもしろ動画倉庫
レトルト , アブ -abu-
キヨ。 , 水溜りボンド
Canhel@ゲーム実況局 , てきとう太郎
ホワイトキュレム , DangerusHard7
katusarby , HikakinGames
東海オンエアの控え室 , ヒカル（Hikaru）
ぐっちの部屋(ミラクルぐっち) , HikakinGames
兄者弟者 , grapecompany
Gamers Channel EX / ゲーマーズチャンネルEX , コメント付き動画おもしろ動画ファンクラブ
さとみ , KUN
桜鷹虎 , janbaritv
こうじょうちょー , みーちゃんママ
Vincent Grijalva , LOST NEWS
キチガイピーポー　黒川編突入 , Alonso Jackeline
いおりくんTV（IORIKUN TV） , HIMAWARIちゃんねる
再生回数180万回 , Len Ken
あまり驚かないガッチマンはホラーゲームばかりやっている , IULITM
AHATO , ありくまかのあ
Nintendo 公式チャンネル , Gamers Channel EX / ゲーマーズチャンネルEX
FL-Haruki , 水溜りボンド
ぐっちの部屋(ミラクルぐっち) , はじめしゃちょー（hajime）
てんちむCH/ tenchim , レトルト
アベル - Abell ch , 黒地鶏[くろすけ]チャンネル
HikakinGames , ポッキー / PockySweets
たくっち , エル
AHATO , よいよいんぐ！
レトルト , 28（ふたば）Games
HikakinTV , プリンセス姫スイートＴＶ Princess Hime Suite TV
HikakinGames , Fischer's-セカンダリ-
Fischer's-フィッシャーズ- , 東海オンエア
Ohmwrecker / Maskedgamer , BasicallyIDoWrk
gamesバド , さとみ
なさんのお部屋 , シソッパチャンネル
iwabi74 , 【コメ付き】休日のゲーム動画
レトルト , 明日香ちゃんねる
兄者弟者 , 桜鷹虎
東海オンエア , Fischer's-フィッシャーズ-
東海オンエアの控え室 , きまぐれクック
プリコ（Precor） , rysoriginal ✯
Fischer's-フィッシャーズ- , おかりん /OkarinGames
AHATO , Canhel@ゲーム実況局
コレコレチャンネル KoreTube , ふぇいたん
さとみ , gamesバド
さとみ , プリコ（Precor）
兄者弟者 , べるくら企画
iwabi74 , MoronicTAS
Fischer's-セカンダリ- , Fischer's-フィッシャーズ-
ハセシン / XxHASESHINxX , ななか
サウザー【スマブラ帝王学】 , みるみる
ポッキー / PockySweets , Fischer's-フィッシャーズ-
さとちんゲーム , ねこかみこ
gamesバド , かてぃ
てんちむCH/ tenchim , うごくちゃん
虫眼鏡の放送部 , news pine
Ohmwrecker / Maskedgamer , VanossGaming
レトルト , えっちゃんねる/悦子
いおりくんTV（IORIKUN TV） , PDK Films
Nintendo 公式チャンネル , HikakinGames
にゅるい/ルイ幹雄 , さとみ
ぐっちの部屋(ミラクルぐっち) , コロコロチャンネル【公式】
コロコロチャンネル【公式】 , サンサンキッズTV ・ SUNSUN KIDS TV
AHATO , ブロさん伝説の
AHATO , ぽこにゃん
キヨ。 , HikakinGames
ぐっちの部屋(ミラクルぐっち) , 実況者ねが本拠地
アベル - Abell ch , テオラ
はじめしゃちょーの畑 , 東海オンエア
てんちむCH/ tenchim , Balance and Posture
Pretz / 実況うますぎ人間 , Channel- R
キヨ。 , HikakinTV
えとなch , だんごむーびぃ(・ω・)＠スプラトゥーン
PINOY LIKES , spooksy
えとなch , Yaritaiji channel
ミナミノツドイ , ぺいんとチャンネルゥ
はじめしゃちょーの畑 , えっちゃんねる/悦子
MaGiCiAn 1610 , イルナイスト
水溜りボンド , ヒカル（Hikaru）
ユイの研究室# , 3月まで冬眠
おるたなChannel , KTG Games
ぺいんとチャンネルゥ , ふうはや
ぺいんとチャンネルゥ , ２８（ふたば）ちゃんねる
ゆらりママchannel , ひまほちゃん
Fischer's-フィッシャーズ- , ヒカル（Hikaru）
牛沢 , 晴れる屋
うごくちゃん , ラファエル Raphael
HikakinGames , Fischer's-フィッシャーズ-
キチガイピーポー　黒川編突入 , 【笑う】水曜日のダウンタウン
さとちんゲーム , 三浦TV
たくっち , こうじょうちょー
コレコレチャンネル KoreTube , 東海オンエア
AHATO , たくっち
たくっち , アベル - Abell ch
ぴよちゃれ!ろこ/キジ彦 , AHATO
しょうぐん , かてぃ
【Moff】もふ , 昼下がりのジャマイカ
ぺいんとチャンネルゥ , ぴくとはうす
てんちむCH/ tenchim , パチスロ&おもしろ動画倉庫
Vincent Grijalva , チョメキング
水溜りボンド , はじめしゃちょーの畑
兄者弟者 , Vincent Grijalva
けーてぃーじー KTG , HirokunTV
KUN , ブラックナイト山田
キヨ。 , katusarby
ありくまかのあ , ぴくとはうす
さとみ , べるくら企画
サウザー【スマブラ帝王学】 , まいぜんシスターズ
畜家 , たくっち
あまり驚かないガッチマンはホラーゲームばかりやっている , killinghope818
Nintendo 公式チャンネル , neoちゃんねる
HikakinGames , ぺいんとチャンネルゥ
ゆらりママchannel , HikakinGames
桜鷹虎 , スロパチステーション
killinghope818 , レトルト
K-1/Krush/KHAOS【official】YouTube channel , 0ken0ken0 channel
水溜りボンドの日常 , 虫眼鏡の放送部
Canhel@ゲーム実況局 , ぽこにゃん
さとみ , かてぃ
あまり驚かないガッチマンはホラーゲームばかりやっている , サリーの部屋
Pretz / 実況うますぎ人間 , LJ Studios - Fortnite
ぐっちの部屋(ミラクルぐっち) , SIMO BASE
ぺいんとチャンネルゥ , Fischer's-セカンダリ-
フジ工房 , せらみかるのYOUTUBEちゃんねる
虫眼鏡の放送部 , 水溜りボンド
KTG Games , おるたなChannel
HikakinGames , FL-Haruki
neoちゃんねる , ue bl
MaGiCiAn 1610 , コメント付きゲーム動画EX
HikakinTV , はじめしゃちょー（hajime）
Canhel@ゲーム実況局 , AHATO
レトルト , ポッキー / PockySweets
はじめしゃちょー（hajime） , キッズライン♡Kids Line
虫眼鏡の放送部 , はじめしゃちょー（hajime）
ラバーガール Official YouTube Channel , 東京03 Official YouTube Channel
ホワイトキュレム , wilsonso
あっさりしょこ , OchiDO
ラファエル Raphael , ヒカル（Hikaru）
ぴよちゃれ!ろこ/キジ彦 , 010yuuki010
MaGiCiAn 1610 , 沖柿
SekineRisa , Kawanishi Mikiかわにしみき
ぴよちゃれ!ろこ/キジ彦 , ポッキー / PockySweets
はじめしゃちょー（hajime） , Life with Brothers
おかりん /OkarinGames , HikakinGames
さとみ , にゅるい/ルイ幹雄
兄者弟者 , Rush GreedZz
AHATO , ゆっくりロングタイム
レトルト , TOMIKKU NET
ユイの研究室# , 考察ジャンピング
なさんのお部屋 , テレペガ/TVPegachan
レトルト , 水溜りボンド
牛沢 , 打ち切り学会.
てんちむCH/ tenchim , キチガイピーポー　黒川編突入
Fischer's-フィッシャーズ- , TOMIKKU NET
うごくちゃん , 新選組_えびあん
てんちむCH/ tenchim , 【レペゼン地球】僕達は更生しました。
えっちゃんねる/悦子 , ここなっちゃん
兄者弟者 , チャンネルSunny
アベル - Abell ch , ぴくとはうす
ぐっちの部屋(ミラクルぐっち) , Fischer's-フィッシャーズ-
たくっち , バカモシカ
ぐっちの部屋(ミラクルぐっち) , PlataBush
さとみ , しょうぐん
たくっち , AHATO
モルモル雑学 , YOKO FUCHIGAMI
Fischer's-セカンダリ- , 野球 Japan Channel
ぺいんとチャンネルゥ , 再生回数180万回
いおりくんTV（IORIKUN TV） , Aaron Esser
Gamers Channel EX / ゲーマーズチャンネルEX , noizuゲーム情報局
PlataBush , ZOMBINE
KTG Games , けーてぃーじー KTG
KUN , 阿拉蕾
neoちゃんねる , ノスタルジア1990
はじめしゃちょー（hajime） , HikakinTV
【Moff】もふ , o-228おにや
ふぇいたん , テンションMAX十六夜
ぴよちゃれ!ろこ/キジ彦 , ここあちゃんねる
桜鷹虎 , メガネのパチンカス実践記
しょうぐん , プリコ（Precor）
Vincent Grijalva , 0ken0ken0 channel
はじめしゃちょーの畑 , 恭チャンネル
キヨ。 , はじめしゃちょーの畑
さとちんゲーム , 妖怪ウォッチ専門チャンネル
たくっち , ぴくとはうす
Fischer's-フィッシャーズ- , プリッとChannel
アベル - Abell ch , AHATO
キチガイピーポー　黒川編突入 , 1GAME TV パチンコパチスロ実践動画
再生回数180万回 , ティックトック
東海オンエア , Eric Ligon
Nintendo 公式チャンネル , AGARUTV（アガるTV）
水溜りボンドの日常 , スカイピース
KUN , しょうじ
AHATO , カズゲームズ/Gaming Kazu
こうじょうちょー , HIMAWARIちゃんねる
ぐっちの部屋(ミラクルぐっち) , おまめサンシローTV
はじめしゃちょー（hajime） , パオパオチャンネル
PlataBush , kudosXkiddos
こうじょうちょー , minicuteclub
牛沢 , MaGiCiAn 1610
HikakinTV , ヒカル（Hikaru）
KTG Games , もみたす
おかりん /OkarinGames , えとなch
【レペゼン地球】僕達は更生しました。 , anime code
HikakinTV , Kawaii Pet TV
Canhel@ゲーム実況局 , souemonkun
牛沢 , ペコ
ぐっちの部屋(ミラクルぐっち) , ぴくとはうす
FORESTちゃんねる , ゆくちょび
あまり驚かないガッチマンはホラーゲームばかりやっている , レトルト
日テレ公式チャンネル , yoshinoyaofficial
東海オンエアの控え室 , 水溜りボンド
桜鷹虎 , たぬパチ!〜パチンコ実践チャンネル〜
FORESTちゃんねる , ゆっくりノダちゃん
neoちゃんねる , kenobi masata
フジ工房 , レトルト
ぺいんとチャンネルゥ , JPAPA CHANNEL
PINOY LIKES , The Dark Joker 99
牛沢 , アブ -abu-
PINOY LIKES , Waneta Mallory
モルモル雑学 , chビビット
牛沢 , HikakinTV
牛沢 , キヨ。
ぺいんとチャンネルゥ , ミナミノツドイ
さとちんゲーム , アベル - Abell ch
Vincent Grijalva , AvtoDor
PlataBush , FGTeeV
虫眼鏡の放送部 , 東海オンエアの控え室
ラバーガール Official YouTube Channel , Mattias Zackrisson
ユイの研究室# , news pine
キチガイピーポー　黒川編突入 , LOVE LOVE 09
ありくまかのあ , はじめしゃちょー（hajime）
ラバーガール Official YouTube Channel , Molly Ferguson
ぐっちの部屋(ミラクルぐっち) , こうじょうちょー
AHATO , Fate Games
東海オンエア , 東海オンエアの控え室
えっちゃんねる/悦子 , HikakinTV
日テレ公式チャンネル , dTV
おるたなChannel , Fischer's-フィッシャーズ-
ぺいんとチャンネルゥ , 赤髪のとものゲーム実況チャンネル!!
BOXING ch , Fortnite GameCH
ラバーガール Official YouTube Channel , バイきんぐ Official YouTube Channel
ぐっちの部屋(ミラクルぐっち) , ふうはや
BOXING ch , 賞金首5億のリズアート
むじょっくすTV , Game Studio CUBE Kouenji
BOXING ch , 総長ウララ
ぐっちの部屋(ミラクルぐっち) , たくっち
あまり驚かないガッチマンはホラーゲームばかりやっている , 牛沢
ぴよちゃれ!ろこ/キジ彦 , けーてぃーじー KTG
水溜りボンドの日常 , 東海オンエア
ポッキー / PockySweets , レトルト
BOXING ch , Norton Teacher
しょうぐん , さとみ
けーてぃーじー KTG , もみたす
モルモル雑学 , SUPER LIGHTS TUBE
かてぃ , さとみ
ポッキー / PockySweets , ぺいんとチャンネルゥ
兄者弟者 , むじょっくすTV
ありくまかのあ , 総長ウララ
パオパオチャンネル , Fischer's-フィッシャーズ-
いおりくんTV（IORIKUN TV） , きょんくま
HikakinTV , おるたなChannel
モルモル雑学 , Next Space Project
Nintendo 公式チャンネル , もっと知りたいワダイ.
FL-Haruki , mmmm73jp
たくっち , ぽこにゃん
レトルト , killinghope818
ホワイトキュレム , Lucy Defi
フジ工房 , 文字ラジオでハッピータイム
あっさりしょこ , Ohmwrecker / Maskedgamer
Fischer's-セカンダリ- , HikakinGames
AHATO , 畜家
さとちんゲーム , Lucy Defi
兄者弟者 , ujinujin bb
AHATO , ゴウキゲームズ /Gouki GAMES
兄者弟者 , PINOY LIKES
兄者弟者 , ハセシン / XxHASESHINxX
プリコ（Precor） , さとみ
ホワイトキュレム , はじめしゃちょー（hajime）
ホワイトキュレム , TV Mon
はじめしゃちょー（hajime） , 東海オンエア
【Moff】もふ , 総長ウララ
AHATO , 実況者ねが本拠地
たくっち , KomeChinkoチャンネル
兄者弟者 , ポッキー / PockySweets
レトルト , モルモル雑学
サウザー【スマブラ帝王学】 , ライバロリ
えっちゃんねる/悦子 , はじめしゃちょーの畑
兄者弟者 , みざりー
サウザー【スマブラ帝王学】 , とも湯
おかりん /OkarinGames , Elizabeth Khan
Nintendo 公式チャンネル , サウザー【スマブラ帝王学】
再生回数180万回 , Elizabeth Khan
水溜りボンド , 東海オンエア
PINOY LIKES , 29niku
なさんのお部屋 , アベル - Abell ch
ぴよちゃれ!ろこ/キジ彦 , さとちんゲーム
ぴよちゃれ!ろこ/キジ彦 , 池ちゃんネルズミラクル
ゆらりママchannel , ゴウキ/Gouki BOOK
ぴくとはうす , こうじょうちょー
むじょっくすTV , もこうの実況
あまり驚かないガッチマンはホラーゲームばかりやっている , ポッキー / PockySweets
ぴくとはうす , KayBi Pro
東海オンエアの控え室 , はじめしゃちょー（hajime）
コレコレチャンネル KoreTube , AbemaTV公式 YouTube
ハセシン / XxHASESHINxX , けんき
Fischer's-フィッシャーズ- , えっちゃんねる/悦子
ぺいんとチャンネルゥ , Elizabeth Khan
iwabi74 , RTA in Japan
ハセシン / XxHASESHINxX , Rush Gaming Light
K-1/Krush/KHAOS【official】YouTube channel , AbemaTV公式 YouTube
てんちむCH/ tenchim , ぷろたん日記
あまり驚かないガッチマンはホラーゲームばかりやっている , キヨ。
はじめしゃちょー（hajime） , Fischer's-フィッシャーズ-
スカイピース , はじめしゃちょー（hajime）
てんちむCH/ tenchim , but it is was not
コレコレチャンネル KoreTube , kolim sotta
てんちむCH/ tenchim , KUN
AHATO , Pretz / 実況うますぎ人間
MaGiCiAn 1610 , チャンネルアンジャッシュ
はじめしゃちょーの畑 , Fischer's-セカンダリ-
HikakinTV , HikakinGames
ぴよちゃれ!ろこ/キジ彦 , いおりくんTV（IORIKUN TV）
おかりん /OkarinGames , KTG Games
けーてぃーじー KTG , もっかい ちゃんねる
katusarby , fumitoramann2
ぴよちゃれ!ろこ/キジ彦 , ポポそら
Nintendo 公式チャンネル , ユイの研究室#
てんちむCH/ tenchim , K-1/Krush/KHAOS【official】YouTube channel
にゅるい/ルイ幹雄 , ワンピース大図鑑
けーてぃーじー KTG , さとちんTV
かてぃ , プリコ（Precor）
【Moff】もふ , ハルパパgamesTV
えっちゃんねる/悦子 , 恭チャンネル
あまり驚かないガッチマンはホラーゲームばかりやっている , フジ工房
Fischer's-フィッシャーズ- , はじめしゃちょーの畑
東海オンエア , peter morris
ポッキー / PockySweets , はじめしゃちょー（hajime）
Pretz / 実況うますぎ人間 , Norton Teacher
